Queryid	SSeqid	perc_identity	evalue	bit_score	alignment_length	query_length	subject_length
tr|Q68287|Q68287_9FLAV	gi|767936141|ref|XP_011541796.1|	36.905	5.91e-07	51.2	84	873	1303
tr|Q68287|Q68287_9FLAV	gi|578810445|ref|XP_006714716.1|	36.905	6.02e-07	51.2	84	873	1318
sp|P17282|GAG_SIVCZ	gi|187608738|ref|NP_001120666.1|	38.806	5.89e-08	50.4	67	508	172
sp|P17282|GAG_SIVCZ	gi|187608738|ref|NP_001120666.1|	31.765	7.12e-07	47.4	85	508	172
sp|P17282|GAG_SIVCZ	gi|187608726|ref|NP_001120664.1|	38.806	7.03e-08	50.4	67	508	179
sp|P17282|GAG_SIVCZ	gi|187608726|ref|NP_001120664.1|	31.765	8.34e-07	47.4	85	508	179
sp|P17282|GAG_SIVCZ	gi|187608750|ref|NP_001120668.1|	35.000	1.37e-07	49.7	80	508	170
sp|P17282|GAG_SIVCZ	gi|187608750|ref|NP_001120668.1|	31.765	7.97e-07	47.4	85	508	170
sp|P17282|GAG_SIVCZ	gi|4827071|ref|NP_003409.1|	35.000	1.41e-07	49.7	80	508	177
sp|P17282|GAG_SIVCZ	gi|4827071|ref|NP_003409.1|	31.765	8.91e-07	47.4	85	508	177
sp|P17282|GAG_SIVCZ	gi|187608744|ref|NP_001120667.1|	52.273	3.48e-07	48.1	44	508	171
sp|P17282|GAG_SIVCZ	gi|187608744|ref|NP_001120667.1|	31.765	8.24e-07	47.4	85	508	171
sp|P17282|GAG_SIVCZ	gi|187608744|ref|NP_001120667.1|	47.368	6.11e-06	44.7	38	508	171
sp|P17282|GAG_SIVCZ	gi|187608732|ref|NP_001120665.1|	52.273	3.55e-07	48.5	44	508	178
sp|P17282|GAG_SIVCZ	gi|187608732|ref|NP_001120665.1|	31.765	8.87e-07	47.4	85	508	178
sp|P17282|GAG_SIVCZ	gi|187608732|ref|NP_001120665.1|	47.368	6.00e-06	44.7	38	508	178
